KODJAZ,TYPVAZ,AKRCIS1,KODCIS1,CHODNOTA1,TEXT1,AKRCIS2,KODCIS2,CHODNOTA2,TEXT2
"CS","Editaèní vazba","CISORP",65,"6204","Bøeclav","KRAJ_NUTS",100,"3115","Jihomoravskı kraj"
"CS","Editaèní vazba","CISORP",65,"6205","Buèovice","KRAJ_NUTS",100,"3115","Jihomoravskı kraj"
"CS","Editaèní vazba","CISORP",65,"6206","Hodonín","KRAJ_NUTS",100,"3115","Jihomoravskı kraj"
"CS","Editaèní vazba","CISORP",65,"6207","Hustopeèe","KRAJ_NUTS",100,"3115","Jihomoravskı kraj"
"CS","Editaèní vazba","CISORP",65,"6208","Ivanèice","KRAJ_NUTS",100,"3115","Jihomoravskı kraj"
"CS","Editaèní vazba","CISORP",65,"6209","Kuøim","KRAJ_NUTS",100,"3115","Jihomoravskı kraj"
"CS","Editaèní vazba","CISORP",65,"6210","Kyjov","KRAJ_NUTS",100,"3115","Jihomoravskı kraj"
"CS","Editaèní vazba","CISORP",65,"6211","Mikulov","KRAJ_NUTS",100,"3115","Jihomoravskı kraj"
"CS","Editaèní vazba","CISORP",65,"6212","Moravskı Krumlov","KRAJ_NUTS",100,"3115","Jihomoravskı kraj"
"CS","Editaèní vazba","CISORP",65,"6213","Pohoøelice","KRAJ_NUTS",100,"3115","Jihomoravskı kraj"
"CS","Editaèní vazba","CISORP",65,"6214","Rosice","KRAJ_NUTS",100,"3115","Jihomoravskı kraj"
"CS","Editaèní vazba","CISORP",65,"6215","Slavkov u Brna","KRAJ_NUTS",100,"3115","Jihomoravskı kraj"
"CS","Editaèní vazba","CISORP",65,"6216","Šlapanice","KRAJ_NUTS",100,"3115","Jihomoravskı kraj"
"CS","Editaèní vazba","CISORP",65,"6217","Tišnov","KRAJ_NUTS",100,"3115","Jihomoravskı kraj"
"CS","Editaèní vazba","CISORP",65,"6218","Veselí nad Moravou","KRAJ_NUTS",100,"3115","Jihomoravskı kraj"
"CS","Editaèní vazba","CISORP",65,"6219","Vyškov","KRAJ_NUTS",100,"3115","Jihomoravskı kraj"
"CS","Editaèní vazba","CISORP",65,"6220","Znojmo","KRAJ_NUTS",100,"3115","Jihomoravskı kraj"
"CS","Editaèní vazba","CISORP",65,"6221","idlochovice","KRAJ_NUTS",100,"3115","Jihomoravskı kraj"
